序号,步骤名称,步骤类型,所属里程碑
1,01召开项目启动会,标准产品,01项目正式启动
2,02系统应用规模及部署需求调研,标准产品,02需求确定
3,03档案业务现状及需求调研,标准产品,02需求确定
4,04历史数据迁移需求调研,数据迁移,02需求确定
5,05业务系统接口需求调研,接口开发,02需求确定
6,06个性化功能需求调研,个性化功能开发,02需求确定
7,07系统安装部署,标准产品,03完成标准产品功能配置
8,08系统参数配置,标准产品,03完成标准产品功能配置
9,09存储配置,标准产品,03完成标准产品功能配置
10,10导入通用初始化库,标准产品,03完成标准产品功能配置
11,11设置全宗,标准产品,03完成标准产品功能配置
12,12设置门类结构、规则及字典,标准产品,03完成标准产品功能配置
13,13设置档案门类,标准产品,03完成标准产品功能配置
14,14关联门类结构并检查门类规则,标准产品,03完成标准产品功能配置
15,15设置（同步）组织机构,标准产品,03完成标准产品功能配置
16,16设置（同步）用户,标准产品,03完成标准产品功能配置
17,17设置角色权限及用户赋权,标准产品,03完成标准产品功能配置
18,18设置档案利用审核人,标准产品,03完成标准产品功能配置
19,19设置档案归档审核人,标准产品,03完成标准产品功能配置
20,20设置数据报表,标准产品,03完成标准产品功能配置
21,21设置档案资源统计、移交接收统计、档案利用统计,标准产品,03完成标准产品功能配置
22,22配置手动登记借阅模板,标准产品,03完成标准产品功能配置
23,23配置“三合一”表（如需要）,标准产品,03完成标准产品功能配置
24,24配置水印,标准产品,03完成标准产品功能配置
25,25配置备份策略,标准产品,03完成标准产品功能配置
26,26配置四性检测（如需要）,标准产品,03完成标准产品功能配置
27,27完成其他功能设置（如需要，例如库房配置、菜单管理、销毁业务等）,标准产品,03完成标准产品功能配置
28,28标准产品整体功能跑通确认及调整,标准产品,03完成标准产品功能配置
29,29数据迁移技术方式确定,数据迁移,04完成数据迁移
30,30执行数据迁移,数据迁移,04完成数据迁移
31,31数据迁移后核验,数据迁移,04完成数据迁移
32,32存量数据创建全文索引，并开启增量索引任务,数据迁移,04完成数据迁移
33,33接口需求及集成方式最终确定,接口开发,05完成接口开发集成
34,34接口开发,接口开发,05完成接口开发集成
35,35接口联调测试,接口开发,05完成接口开发集成
36,36接口部署,接口开发,05完成接口开发集成
37,37个性化需求整体最终确定,个性化功能开发,06完成个性化功能开发
38,38个性化需求整体设计,个性化功能开发,06完成个性化功能开发
39,39个性化需求开发,个性化功能开发,06完成个性化功能开发
40,40个性化需求测试验证,个性化功能开发,06完成个性化功能开发
41,41个性化需求部署及用户验证,个性化功能开发,06完成个性化功能开发
42,42系统上线前功能调整及其他准备工作,系统上线试运行,07完成系统上线前功能调整及其他准备工作
43,43用户培训,用户培训,07完成系统上线前功能调整及其他准备工作
44,44系统正式上线,系统上线试运行,08完成系统上线及试运行
45,45项目正式验收,系统上线试运行,09完成项目验收
