序号,步骤名称,步骤类型,所属里程碑
1,01召开项目启动会,标准产品,01项目正式启动
2,02系统应用规模及部署需求调研,标准产品,02需求确定
3,03档案业务现状及需求调研,标准产品,02需求确定
4,04历史数据迁移需求调研,数据迁移,02需求确定
5,05个性化功能需求调研,个性化功能开发,02需求确定
6,06系统安装部署,标准产品,03完成标准产品功能配置
7,07系统参数配置,标准产品,03完成标准产品功能配置
8,08存储配置,标准产品,03完成标准产品功能配置
9,09导入通用初始化库,标准产品,03完成标准产品功能配置
10,10设置全宗,标准产品,03完成标准产品功能配置
11,11设置门类结构、规则及字典,标准产品,03完成标准产品功能配置
12,12设置档案门类,标准产品,03完成标准产品功能配置
13,13关联门类结构并检查门类规则,标准产品,03完成标准产品功能配置
14,14设置组织机构,标准产品,03完成标准产品功能配置
15,15设置用户,标准产品,03完成标准产品功能配置
16,16设置角色权限及用户赋权,标准产品,03完成标准产品功能配置
17,17设置档案利用审核人,标准产品,03完成标准产品功能配置
18,18设置数据报表,标准产品,03完成标准产品功能配置
19,19设置档案统计,标准产品,03完成标准产品功能配置
20,20配置手动登记借阅模板,标准产品,03完成标准产品功能配置
21,21配置“三合一”表（如需要）,标准产品,03完成标准产品功能配置
22,22配置水印,标准产品,03完成标准产品功能配置
23,23配置备份策略,标准产品,03完成标准产品功能配置
24,24配置四性检测（如需要）,标准产品,03完成标准产品功能配置
25,25标准产品整体功能跑通确认及调整,标准产品,03完成标准产品功能配置
26,26数据迁移技术方式确定,数据迁移,04完成数据迁移
27,27执行数据迁移,数据迁移,04完成数据迁移
28,28数据迁移后核验,数据迁移,04完成数据迁移
29,29存量数据创建全文索引，并开启增量索引任务,数据迁移,04完成数据迁移
30,30个性化需求整体最终确定,个性化功能开发,06完成个性化功能开发
31,31个性化需求整体设计,个性化功能开发,06完成个性化功能开发
32,32个性化需求开发,个性化功能开发,06完成个性化功能开发
33,33个性化需求测试验证,个性化功能开发,06完成个性化功能开发
34,34个性化需求部署及用户验证,个性化功能开发,06完成个性化功能开发
35,35系统上线前功能调整及其他准备工作,系统上线试运行,07完成系统上线前功能调整及其他准备工作
36,36用户培训,用户培训,07完成系统上线前功能调整及其他准备工作
37,37系统正式上线,系统上线试运行,08完成系统上线及试运行
38,38项目正式验收,系统上线试运行,09完成项目验收
